Overview,Website,Industry,Company size,Headquarters,Founded,Specialties,Phone
"Avendus Capital Pvt. Ltd is a leading financial services firm, which along with its associates, provides
customized solutions in the areas of financial advisory, equity capital markets, wealth management and alternative asset management. The firm relies on its extensive track record, in-depth domain understanding and knowledge of the economic and regulatory environment, to offer research based solutions to its clients that include institutional investors, corporations and high net worth individuals/families. In recent years, Avendus Capital Pvt. Ltd. has consistently been ranked among theleading corporate finance advisors in India and has emerged as the advisor of choice for cross-border M&A deals, having closed around 40 cross-border transactions in the past 5 years. Avendus Wealth Management Pvt. Ltd. caters to investment advisory and portfolio management needs of Family offices and Ultra High Net worth Individuals / families, spanning all asset classes. Headquartered in Mumbai, the firm has offices in New Delhi and Bangalore.

Avendus Capital, Inc (US) and Avendus Capital (UK) Pvt. Ltd. located in New York and London respectively are wholly owned subsidiaries of Avendus Capital Pvt. Ltd offering M&A and Private Equity syndication services in the respective regions. Avendus Capital, Inc (US) also provides wealth management services in select jurisdictions in USA.",http://www.avendus.com,Financial Services,"201-500 employees 432 on LinkedIn
            
 



    Includes members with current employer listed as Avendus, including part-time roles.","Mumbai, MH",1999,"Investment Banking, Wealth Management, Alternate Asset Management, and Structured Credit",
"Mahindra & Mahindra Financial Services Limited (Mahindra Finance), part of the Mahindra Group, is one of India’s leading non-banking finance companies. Focused on the rural and semi-urban sector, the Company has over 8.1 million customers and has an AUM of over USD 11 Billion. The company is a leading vehicle and tractor financier and also offers other products like Fixed Deposits and SME Loans. The company has over 1,384 offices and reaches out to customers spread over 3,80,000 villages and 7,000 towns across the country. Mahindra Finance is the only Non-Banking Finance Company from India to be listed on the Dow Jones Sustainability Index in the Emerging Market Category 2019. Mahindra Finance has been ranked 25th on the list of India’s Best Companies to work for - 2020, by Great Place to Work® Institute and ranked 6th in the list of Best Large Workplaces in Asia 2020 by Great Place to Work® Institute. The Company's Insurance Broking subsidiary, Mahindra Insurance Brokers Limited (MIBL), is a licensed Composite Broker providing Direct and Reinsurance broking services. Mahindra Rural Housing Finance Limited (MRHFL) a subsidiary of Mahindra Finance provides loans for purchase, renovation, construction of houses to individuals in the rural and semi-urban areas of the country. Mahindra Manulife Investment Management Private Limited (MMIMPL), a subsidiary of Mahindra Finance, acts as the Investment Manager for Mahindra Manulife Mutual Fund. The Company has a JV in the US, Mahindra Finance USA LLC, in partnership with De Lage Landen, a subsidiary of Rabo Bank, for financing Mahindra vehicles in the US.",http://www.mahindrafinance.com/,Financial Services,"10,001+ employees 6,641 on LinkedIn
            
 



    Includes members with current employer listed as Mahindra Finance, including part-time roles.","Mumbai, Maharashtra",1991,,
"Poonawalla Fincorp Limited (formerly known as Magma Fincorp Limited) brings a customized suite of transparent, quick, and hassle-free Loan offerings and Insurance, to empower our customers fulfil their aspirations with ease. 
Every big or small dream, aspiration and goal is just a step away with Poonawalla Fincorp! Leading with the brand legacy of trust, integrity, transparency, and excellence, we are proud to have inspired over millions of customers.
Understanding our customer’s diverse needs, our financial solutions are designed to offer quick, hassle-free, and transparent loan offerings and services. Our combined digital capabilities and wide suite of offerings with Competitive Interest Rate, No Hidden Charges, Flexible Tenure and Zero Foreclosure charges, we are ready to serve you through an extended network of branches across 22 states.",https://poonawallafincorp.com,Financial Services,"5,001-10,000 employees 4,964 on LinkedIn
            
 



    Includes members with current employer listed as Poonawalla Fincorp, including part-time roles.","Pune, Maharashtra",1989,,"1800-266-3201
            

              Phone number is 1800-266-3201"
"Hero FinCorp Limited (HFCL) was incorporated in December 1991 as Hero Honda FinLease Limited. After the restructuring of our parent company Hero MotoCorp Limited (formerly Hero Honda Motors Limited), HFCL also changed its name to Hero FinCorp Limited in July, 2011.

Under the leadership of Mr. Abhimanyu Munjal (CEO), HFCL aims to become India’s 'Next Generation, Ultra-Lean, Credit Champion'​. Over the last few years, the company has successfully expanded its presence and operates two distinct business lines:

1.	Corporate Lending (SME & MME Businesses)
2.	Retail Financing (Hero MotoCorp Two Wheelers)

Currently, HFCL provides a several corporate lending services, including Bill Discounting, Secured/ Unsecured Term Loans, Working Capital Loans and Bridge/ Structured Financing. On the retail front, HFCL’s operations are present at over 2000 touch points spread across India. 

Our motto is 'Finance Made Easy'​ which also forms the underlying philosophy for all our actions, whether current or in the future. In-line with this approach, our wide-ranging product line-up allows us to serve the Capex and Opex needs of our clients. 

Looking forward, we plan to expand our offerings, geographic presence and work towards offering class leading financial solutions & services to all sections of society. We aim to provide new products and services, which are easy to understand and customisable, whilst syncing with our client’s needs. Additionally, we want to build a flexible and agile service delivery model; which would allow us to offer best-in-class customer servicing and experience.",https://www.herofincorp.com,Financial Services,"1,001-5,000 employees 4,350 on LinkedIn
            
 



    Includes members with current employer listed as Hero FinCorp., including part-time roles.","New Delhi, Delhi",1991,Corporate & Retail Lending,
"STP Investment Services is a collaborative partner providing scalable, transparent, middle and back office solutions to investment managers, funds, and plan sponsors giving them the technology, expertise and confidence needed to focus on core business objectives. In order to decrease operational risk and scale the business rapidly and effectively, investment managers, funds, and plan sponsors need to focus on people, processes and platforms. STP Investment Services, an international company with fully owned offices in the United States and India, provides a broad range of services for the asset management industry with capabilities to process all asset classes and meet ever-evolving business requirements.",https://stpis.com/,Financial Services,"201-500 employees 268 on LinkedIn
            
 



    Includes members with current employer listed as STP Investment Services, including part-time roles.","West Chester, PA",2008,"Investment Operations Outsourcing, Trade Support, Data Management, Portfolio Accounting, Investment Accounting, Corporate Actions, Performance Measurement, Reconciliation, Client Reporting, Back & Middle Office Outsourcing, Eagle Investment Systems, Markit EDM, Fund Administration, FinTech, Hedge Funds, Software Development, Management Dashboards, Data Aggregation, Data Warehouse, and Post Trade Compliance",
"CRIF India is one of India’s leading providers of Credit Information, Business Information, Analytics, Scoring, Credit Management, and Decisions Solutions. In India, CRIF has two companies: CRIF High Mark and CRIF Solution PVT Ltd. CRIF High Mark is an RBI licensed leading credit bureau in India with one of the largest databases of individuals and businesses. It provides credit information services and supports millions of lending decisions every month. CRIF High Mark pioneered India’s first Microfinance Bureau database, which now is World’s largest Microfinance Bureau Database. CRIF Solutions offers Analytics & Scoring services, Credit Management solutions, Decision solutions, and Business Information Reports.
CRIF is a global Fintech offering banks, financial institutions, utility companies, insurance companies, telecom players and businesses qualified support in every phase of the customer relationship: from the planning of development strategies to the acquisition, through to portfolio management and credit collection. It is included in the prestigious FinTech 100, a ranking of the leading global technology solution providers in the financial services industry. CRIF India brings together the best of both worlds – comprehensive data and sophisticated dedupe technology for India along with global best practices, expertise in scoring, and top-rated credit management software solutions – to add the most value to our clients.
CRIF has an international presence, operating over four continents (Europe, America, Africa, and Asia) in 50 countries with more than 10,500 financial institutions, 600 insurance companies, 82,000 business clients, and 1,000,000 consumers using CRIF services. CRIF India is headquartered in Mumbai, has development and an operations center in Pune, and has over 500 employees.",https://www.crifhighmark.com,Financial Services,"501-1,000 employees 314 on LinkedIn
            
 



    Includes members with current employer listed as CRIF India, including part-time roles.","Mumbai, Maharashtra",2005,"Credit Bureau Information, Business Information, Credit Risk Management-Predictive Analytics & Scorecards, COSMO - Psychometric Analytics , Business Rules and Decision Management, Credit Process Management, Collections Management, Deduplication Platform, and External Data Connector","+91-22-7171 2900 
            

              Phone number is +91-22-7171 2900"
"Muthoot FinCorp Limited (MFL) is the flagship Company of the Muthoot Pappachan Group . MFL is Financial Services SuperHouse or you call it PowerHouse!

A market leader in the gold loans business Muthoot FinCorp has over 3,600 branches spread across the cities, towns and villages of India, the Company serves more than 75,000 customers a day.

Muthoot FinCorp’s long-standing experience,expertise and stronghold in the semi urban and rural areas has enabled the Company to provide quick, customized finance options and investment products, maximizing returns to the population. The loan products of Muthoot FinCorp are uniquely structured to serve people who do not have easy  access to mainstream commercial banks.

MFL counts the satisfaction and long-service of its people as a cornerstone of its success. Fostering teamwork, nurturing creativity and rewarding commitment are systematically and professionally managed. Excellence and innovation are encouraged and rewarded. Ensuring Muthoot FinCorp's people remain at the competitive edge, best practice in the area and unique motivational programs are regularly carried out.",http://www.muthootfincorp.com,Financial Services,"10,001+ employees 8,433 on LinkedIn
            
 



    Includes members with current employer listed as Muthoot Fincorp Ltd., including part-time roles.","Trivandrum, Kerala",1887,"Gold Loan, Auto Loan, Money Transfer, Foreign Exchange, Mutual Fund, Demat Services, MSME Loans, Travel Services, LoanviaSMS, and Best quality lowest cost jewellery",
"The World Bank Treasury has achieved a global reputation as a prudent and innovative borrower, investor and risk manager. Our vision is to be the trusted leader, global expert and continuous innovator - delivering impactful financial services with integrity and excellence.

Treasury contributes to the Twin Goals of the World Bank Group: (1) to end extreme poverty and (2) promote shared prosperity. We do this by ensuring the long-term financial sustainability of the World Bank (IBRD and IDA), using capital markets innovations to finance sustainable development, exceeding investment objectives, and serving clients through advisory and risk management products and services.

We manage the World Bank's finances to enable all operations and lending, act as a trusted advisor to our member countries to support financial stability and resilience, and lead financial innovation to implement the Maximizing Finance for Development agenda.",http://treasury.worldbank.org,Financial Services,"201-500 employees 167 on LinkedIn
            
 



    Includes members with current employer listed as The World Bank Treasury (IBRD • IDA), including part-time roles.","Washington, DC",1946,"Capital Markets, Capacity Building, Risk Management, Debt Management, Reserves Management, Financial Services, Bonds, Pension Administration, Banking, Financial Advisory, Quantitative Analysis, Strategic Asset Allocation, Asset Management, Derivatives, Financial Solutions, Development Finance, Fintech, and Financial Technology",
"Welcome to Niyo, India’s leading Fintech, aimed at making banking simpler, smarter and safer for over five million customers in India.
Since its inception in 2015, Niyo has been at the forefront of revolutionising banking with continual digital innovation.

Let’s just say – we help you save more, be more and do more. Take your banking experience a notch higher with: 

Niyo Global: An Indian passport holder's preferred bank account in partnership with SBM Bank (India). Designed to help you travel the world with zero forex markups, this account comes with a VISA Signature debit card that also gives you complimentary airport lounge access in India, savings account with upto 5% interest along with a host of travel features.  
NiyoX: A 2-in-1 account in partnership with Equitas Small Finance Bank, that takes care of both - your savings and investments. With zero commissions on mutual funds and upto 7% interest p.a on savings, this zero balance savings account helps you #DecodeBanking and keeps you worry free.

Come Onboard, to find out why some of our users say,
Niyo is the best thing to have happened to banking since banking.",http://www.goniyo.com,Financial Services,"501-1,000 employees 505 on LinkedIn
            
 



    Includes members with current employer listed as Niyo Solutions Inc., including part-time roles. Also includes employees from subsidiary: Index.","Bangalore, Karnatka",,,
"ADF, through its Personify Financial brand, is the trusted financial partner for tens of thousands of underestimated and under-banked Americans. Combining state-of-the-art technology and world-class application of advanced data science and machine learning, ADF is setting a new standard for assessing near-prime and non-prime borrower credit and fraud risk.",http://www.applieddatafinance.com,Financial Services,"201-500 employees 385 on LinkedIn
            
 



    Includes members with current employer listed as Applied Data Finance, including part-time roles.",,2014,"Consumer Lending, Installment Loans, and Unsecured Consumer Financing",
"We are a world-leading payment solution provider for merchants, international corporates and SME’s, and consumers. PagoNxt brings together the most disruptive payment businesses from Banco Santander. While part of Banco Santander, boasting over 160 years of banking experience and 153 million customers worldwide, PagoNxt is an autonomous company, working as a fintech to deliver fast solutions to the payments market. 

Headquartered in Madrid with a presence in 14 countries and a team of 3,300 payment experts and developers worldwide, with an extra 1,200 external developers, PagoNxt delivers its value proposition to more than 1.2 million merchants, 200,000 international SME’s and corporates worldwide, and over 700.000 consumers. 

PagoNxt comprises Getnet on our acquiring business, OneTrade, Payments Hub, Ebury, Mercury TFS on our trade business, and Superdigital for our consumer proposition.

We boost the future of payments to Now. To Wow!",,Financial Services,"1,001-5,000 employees 798 on LinkedIn
            
 



    Includes members with current employer listed as PagoNxt (a Santander company), including part-time roles.","Madrid, Madrid",2020,"Payments, Merchant Solutions, Trade Solutions, and Consumer Solutions",
"HDFC securities has been serving a diverse customer base of retail and institutional investors, since 2000.
Headquartered in Mumbai, it offers an exhaustive product suite to help its customers invest in Equities, IPO/OFS, Buybacks, Mutual Funds, ETFs, Futures & Options for - Equity, Currency and Commodities, Fixed Deposits, Bonds, NCDs and National Pension Scheme, along with value added services like Online Will writing and Tax filing. The company offers a host of digital platforms like Mobile Trading App, Desktop based online trading facility, ProTerminal- an advanced trading platform and Arya- a voice enabled investing assistant. It also offers Call N Trade facility and dedicated Relationship Managers to assist customers. 
Since its inception, the company has established itself as a preferred trading platform (for NSE & BSE), with its integrated 3-in-1 account (Trading + Demat + Savings) backed by state-of-the-art technology. Over the years, the company has won many awards and recognitions. It is been contributing in various CSR activities pertaining to education, water, sanitation, financial awareness and medical assistance. Currently, the company has 250+ branches across 190 cities, serving over 2.1 million customers.",http://www.hdfcsec.com/,Capital Markets,"1,001-5,000 employees 3,692 on LinkedIn
            
 



    Includes members with current employer listed as HDFC securities, including part-time roles.","Mumbai, Maharashtra",2000,,
"Angel One (formerly known as Angel Broking) is a Fintech firm driven by technology and on a mission to become the No. 1 fintech organization in India. With a  10 millions+ registered client base and more than 15 million app downloads, we are onboarding more than 400K new users every month.

We are working to build personalized financial journeys for customers via a single app, powered by new-age engineering tech and Machine Learning. We are a group of self-driven, motivated individuals who enjoy taking ownership and believe in providing best value for money to investors through innovative products and investment strategies. We apply and amplify design thinking with our products and solution.

It is a flat structure, with ample opportunity to showcase your talent and a growth path for engineers to the very top. We are remote-first, with people spread across Bangalore, Mumbai, UAE, and the US.

Come on Onboard 🤝, to become part of this epic journey!
We are aggressively hiring Engineers, Product Manager & Data science rockstars from across the globe - check out our career’s sections!

#BreakTheOffice #AngelOneForAll",http://www.angelone.in,Financial Services,"1,001-5,000 employees 8,208 on LinkedIn
            
 



    Includes members with current employer listed as Angel One, including part-time roles.","Mumbai, Maharashtra",1996,"Equity, Mutual Fund, Commodity, Derivatives, Research, Investments, Online Trading, Mobile Trading, ARQ, Currencies, and Insurance","022-33551111
            

              Phone number is 022-33551111"
"Tata Motors Finance (TMF) is committed to attracting, motivating and retaining individuals of the highest calibre and potential.

TMF in partnership with Tata Motors Limited, brings with it more than 58 years of captive financing expertise. Our product portfolio ranges across new asset financing for Passenger Cars, Utility Vehicles, Commercial Vehicles, Motor Insurance, Used Vehicle and Construction Equipment financing. TMF is currently the largest financer of vehicles manufactured by Tata Motors in India and poised to grow rapidly over the next few years.

Our Core Purpose is to reach out and help our customers realize the dream of owning a Tata vehicle easily.

We are driven by 5 Core Values  - Integrity, Excellence, Care & Concern, Creativity & Innovation, Commitment.

Our Vision is to be the most admired and successful vehicle finance company adhering to our core values. We shall achieve this by:
-          Excellence in all our operations
-          Use of cutting edge technology
-          Being the partner of choice

Thereby creating a great place to work !!!

Go the extra mile is the bedrock of an enabling culture at TMF as we strive for excellence, exceeding boundaries and setting new standards in all that we do. 

For career opportunities, visit our website...",http://tmf.co.in,Financial Services,"1,001-5,000 employees 3,238 on LinkedIn
            
 



    Includes members with current employer listed as Tata Motor Finance, including part-time roles.",,2008,"New Vehicle Finance, Used Vehicle Finance, Construction Equipment Finance, and Channel Finance","1800-209-0188
            

              Phone number is 1800-209-0188"
"Edelweiss Wealth Management is dedicated to building long term relationships with clients
and empowering them to gain from market opportunities.
Our approach is to understand the financial needs of customers and recommend investment
options in a super simple manner.
Our customers invest and trade in all major asset classes like Equity, Derivatives, Currencies, Mutual Funds, Gold ETFs, IPOs.
And we’re part of a Larger Family, The Edelweiss Group, which is one of India's leading diversified financial services company providing a broad range of financial products and services to a substantial and diversified client base that includes corporations, institutions and individuals. Edelweiss's products and services span multiple asset classes and consumer segments across domestic and global geographies.
The group has sizeable presence in large retail segment through its businesses such as Life Insurance, Housing Finance, Mutual Fund and Retail Financial Markets. It has an asset base of ~Rs. 55,100 Cr, over 10,000 employees across its 450 offices in India and abroad. Catering to over 1,100,000+ clients under various businesses in retail and wholesale segments.",https://www.edelweiss.in,Financial Services,"1,001-5,000 employees 1,282 on LinkedIn
            
 



    Includes members with current employer listed as Edelweiss Wealth Management, including part-time roles.","Mumbai, Maharashtra",2009,"Equity, Derivatives, Currency, Commodity, Mutual Funds, Fixed Income, IPOs, Gold ETFs, and Finance",
"SBI Card was launched in October 1998 by the State Bank of India and GE Capital. Incorporated as SBI Cards and Payment Services Limited (previously known as SBI Cards and Payment Services Private Limited), SBI Card is headquartered in Gurgaon, Haryana.

In December 2017, State Bank of India and The Carlyle Group acquired GE Capital`s stake in the Company. SBI holds 74% while Carlyle holds 26% in the SBI Card.

The aim of SBI Card is to offer Indian consumers access to a wide range of world-class, value-added payment products and services. Our endeavor is to simplify the lives of our customers, employees, and other important stakeholders.

Our innovative products and services along with our responsible corporate citizenship practices form the framework of delivering on this promise. We were awarded “Mar Tech Leadership Award” for the year 2021-22 under the category “Use of Technologies - Best Data Enablement Campaign” at MarTech Leadership Summit 2022.

Within a short span of 10 months, we achieved a credit card customer base of 1 lakh. We entered the '1 Million Card Club’ in 2002 and crossed the 2 million card base in 2005.

We are one of the leading players in the Indian credit card market, with over 14 million cards in force as of June '22, and have a presence across India.

To learn more, please visit: http://www.sbicard.com/",https://www.sbicard.com,Financial Services,"1,001-5,000 employees 11,452 on LinkedIn
            
 



    Includes members with current employer listed as SBI Card, including part-time roles.","Gurgaon, Haryana",,Credit Cards & Value-added payment products and services,
