Overview,Website,Phone,Industry,Company size,Headquarters,Founded,Specialties
"The Metropolitan Stock Exchange (MSE) is one of India's nine stock exchanges recognized by the Securities and Exchange Board of India (SEBI) under Section 4 of Securities Contracts (Regulation) Act, 1956. The Exchange was notified of a ""recognized stock exchange"" under Section 2(39) of the Companies Act, 1956 by the Ministry of Corporate Affairs, Govt. of India, on December 21, 2012

Mr. D K Mehortra, Ex Chairman, Life Insurance Corporation of India Ltd. is the Non-Executive Chairman (Public Interest Director) on the Board. Ms. Latika S Kundu was appointed as Managing Director & Chief Executive Officer on March 12, 2020

MSE commenced operations in the Currency Derivatives(CD) Segment on October 7, 2008, under the regulatory framework of SEBI and RBI. MSE launched Capital Market Segment, Futures & Options Segment and flagship index ‘SX40’ on February 9, 2013, trading commenced on February 11, 2013.
SX40 is a free-float based index consisting of 40 large-cap liquid stocks, representing diverse sectors of the economy. Trading in the index derivatives began on May 15, 2013. Its base value is 10,000 and base date is March 31, 2010.

The Debt Market Segment of MSE, was launched on June 7, 2013, and trading commenced on June 10, 2013. The Exchange started live trading in cash-settled Interest Rate Futures (IRF), on 10-year Government of India security, in its CD Segment from January 20, 2014.

MSE offers an electronic, transparent and hi tech platform for trading in capital market, F&O, CD, IRF and Debt Market segments. Clearing and settlement of trades are conducted through its clearing corporation, Metropolitan Clearing Corporation of India Ltd.

The shareholding of MSE includes public and private sectors banks, Exchange, Financial Institutions and private investors. Some of these shareholders are SBI, Union Bank of India, Canara Bank, PNB, BOI, Bank of Baroda, HDFC Bank, Axis Bank, MCX, IL&FS, IFCI, & Mr Radhakishan S Damani, Mr Siddhartha Balachandran, Mr Nemish Shah.",http://www.msei.in,,Financial Services,"201-500 employees 268 on LinkedIn
            
 



    Includes members with current employer listed as Metropolitan Stock Exchange of India Ltd., including part-time roles.","Mumbai, Maharashtra",2008,India's New Stock Exchange
"Mswipe is the leading digital payments and financial solutions company supporting the growing merchant community across India. Our product suite consists of various POS terminals, from portable palm-size devices to various Smart POS options, Payment Gateway, Payment Pages, Payment Links, QR Code, and the latest launch Boombox that provides alerts via sound and display to merchants. Mswipe is known for launching multiple industry-first products. 

Further to enable growth, we provide instant digital loans to merchants under the brand Mcapital. Mcapital is the lending arm and a fully owned subsidiary of Mswipe Technologies. Mswipe aims to provide holistic and simple tech-led financial solutions to merchants.

Under Banking and Enterprise Solutions, Mswipe works with the largest bank networks, insurance partners, and consumer brands with a national footprint to support their merchants and outlets. 

We service over 21,000 pin codes covering over 800 cities and towns. Our strength lies in providing end-to-end solutions to our customers and partners which encompasses in-house technology, and a strong service team at all times.

Our vision is to strongly contribute to the digital revolution of India and make retail stores across all categories self-reliant.",https://www.mswipe.com,"1800 102 2699
            

              Phone number is 1800 102 2699",Financial Services,"1,001-5,000 employees 2,256 on LinkedIn
            
 



    Includes members with current employer listed as Mswipe Technologies Pvt. Ltd., including part-time roles.","Mumbai, Maharashtra",2011,"POS, Mobile POS, mPOS, Card Payment, payment solutions, mQR, QR code, Cashless Payments, Digital India, Digital Payments, Card Swipping Machine, NFC Payments, Cashless India, Online Store, Money Back Card, Pay by Link, and Contactless payment"
"Who are we?

Spocto is one of the worlds leading AI-driven Risk Mitigation platform that encompasses all life cycles within the debt.
It was founded in 2015 by an experienced team of Business leaders, DevOps engineers and Risk Experts.

We are trusted by 30+ premier institutions across the world for risk mitigation.
In terms of impact, AUM processed through our platform till date is 91B USD and catered to over 52 Million happy customers.

What makes us unique?

Our proprietary algorithms apply machine learning to multiple digital touch-points of 500+ million individual personas sourced from 80+ data sources and continually curate them to keep it “LIVE”. Thereon, we use trademarked predictive artificial intelligence to draw insights and provide specific recommendations. These unique capabilities allow us to enrich persona data from the public domain with not only demographic but also behavioural & psychographic information on a hyper-personalized scale.

Where can we help?

As of now, we have seen applications in different industries such as FMCG, FMCD, BFSI (specific to do with potential/current customers for loans / mutual funds scheme), Properties, Retail, e-commerce - fundamentally any business where BIG volumes of individual data can be useful but are currently unused, ambiguous, inaccurate, unmanageable or non-actionable in its current form.",http://www.spocto.com,,Financial Services,"201-500 employees 202 on LinkedIn
            
 



    Includes members with current employer listed as spocto, including part-time roles.","Mumbai, Maharashtra",2015,"Individual Persona Level Data & Analytics, IoT, Marketing Technology, collectech, and AI&ML"
"Delta Capita Group (the Financial Services division of Prytek) is a global consulting, managed services and technology provider.

Delta Capita has a unique combination of experience in Financial Services and technology innovation capability.

Headquartered in London with offices around the world, we work with the world’s top financial institutions to help them comply with regulations, simplify operations, reduce costs and innovate their business models and leverage leading fintechs.",https://www.deltacapita.com,,Financial Services,"1,001-5,000 employees 1,146 on LinkedIn
            
 



    Includes members with current employer listed as Delta Capita, including part-time roles.",,2010,"Managed Services, Technology Solutions, Consulting, Financial Services, Capital Markets , Banking , Insurance , Pensions, Business Operating Platform as a Service, Resource Augmentation Services, and Transformation"
"LIC Housing Finance Ltd. is one of the largest Housing Finance company in India. Incorporated on 19th June, 1989 under the Companies Act, 1956, the Company was promoted by LIC of India and went public in the year 1994. The Company launched its maiden GDR issue in 2004. The Authorized Capital of the Company is Rs.1500 Million (Rs.150 Crores) and its paid up Capital is Rs.1009.9 Million ( Rs.100.99 Crores). The Company is registered with National Housing Bank and listed on the National Stock Exchange (NSE) & Bombay Stock Exchange Limited (BSE) and its shares are traded only in Demat format. The GDR's are listed on the Luxembourg Stock Exchange.

The main objective of the Company is providing long term finance to individuals for purchase or construction of house or flat for residential purpose / repair and renovation of existing flat / houses. The Company also provides finance on existing property for business / personal needs and also gives loans to professionals for purchase / construction of Clinics / Nursing Homes / Diagnostic Centres / Office Space and also for purchase of equipments. The Company also provides long term finance to persons engaged in the business of construction of houses or flats for residential purpose and to be sold by them.

The Company possesses one of the industry's most extensive marketing network in India: Registered and Corporate Office at Mumbai, 9 Regional Offices, 16 Back Offices and 282 marketing units across India. In addition the company has appointed over 12000 Intermediaries to extend its marketing reach. 24 Back Offices spread across the country conduct the credit appraisal and administrative functions.

The Company has set up a Representative Office in Dubai to cater to the Non-Resident Indians in the GCC countries covering Bahrain, Dubai, Kuwait, Qatar and Saudi Arabia. Today the Company has a proud group of over 25 LACS prudent house owners who have enjoyed the Company's financial assistance.",https://www.lichousing.com,"+91 2222178612
            

              Phone number is +91 2222178612",Financial Services,"1,001-5,000 employees 2,224 on LinkedIn
            
 



    Includes members with current employer listed as LIC Housing Finance Limited, including part-time roles.",,1989,"Home Loans, Mortgage Loans, Deposits, and Loan Against Property"
"HostBooks is a comprehensive cloud-based platform for all the accounting and compliance functions including Accounting, GST, E-Way Bill, and TDS.

With the perfect blend of accounting and cutting-edge technologies, we aim at minimizing the compliance time for the SMEs with seamless user experience. Be it maintaining records, filing any return or any other compliance, HostBooks automated cloud software boosts up user productivity, promises an incredible and hassle-free user experience, cuts down the operation time and cost, keeping everything highly secured and intact.

Our Products

HostBooks Accounting

HostBooks Accounting Software makes Accounting & Compliance seamless for small businesses and accounting professionals. The automation of the processes reduces the time spent on accounting and compliance significantly, enabling you to focus on your core business.  It helps you manage your business finances effortlessly on the go.

HostBooks GST

HostBooks GST software offers you a seamless GST Billing and Return Filing experience. It aims at reducing the compliance time significantly with its automated and cloud-based processes. Hence, no hassles with the Auto-matching and Reconciliation of Invoices, Purchases, ITC & Returns. HostBooks GST is going to help you overcome all the roadblocks.

HostBooks E-Way Bill

HostBooks E-Way Bill software paves way for a smoother movement of goods with seamless e-way bill generation. Be it a business owner or a transporter, HostBooks E-Way Bill caters to the needs of all. Being integrated with the Govt. Portal in real-time, there’s no need to visit the Govt. website again and again.

HostBooks TDS

HostBooks TDS software simplifies the process of filing TDS returns from beginning till the end and provides you with seamless user experience. It is absolutely easy to use and helps you overcome all the TDS issues. Being a cloud-based automated software, HostBooks TDS calculates the amount of TDS/TCS automatically without any hassle.",,"8800293663
            

              Phone number is 8800293663",Financial Services,"201-500 employees 192 on LinkedIn
            
 



    Includes members with current employer listed as HostBooks Limited, including part-time roles.","Gurugram, Haryana",2009,"Accounting Software, GST Software, eWay Bill Software, TDS, GST, Goods and Services Tax, Tax Solutions, GST Return Filing, Eway Bill Consulting, Income Tax Returns, Accounting, TDS Consulting, POS Software, and Payroll"
"Henley & Partners is the global leader in residence and citizenship by investment. Each year, hundreds of wealthy individuals and their advisors rely on our expertise and experience in this area. Our highly qualified professionals work together as one team in over 35 offices worldwide.

The concept of residence and citizenship by investment was created by Henley & Partners in the 1990s. As globalization has expanded, residence and citizenship have become topics of significant interest among the increasing number of internationally mobile entrepreneurs and investors whom we proudly serve every day.

Trusted by governments, the firm also runs a leading government advisory practice that has raised more than USD 10 billion in foreign direct investment. We have been involved in strategic consulting and the design, set-up, and operation of the world’s most successful residence and citizenship programs.",http://www.henleyglobal.com,,Financial Services,"201-500 employees 278 on LinkedIn
            
 



    Includes members with current employer listed as Henley & Partners - The Firm of Global Citizens®, including part-time roles.",,1997,"Government Advisory, Citizenship-by-Investment, Residence-by-Investment, Private Client Advisory, and Global Leaders in Residence and Citizenship by Investment"
"UBI Services Limited (UBISL) is a wholly owned subsidiary of Union Bank of India, a premier Public Sector Bank, having its registered office at Mumbai. 

The Company (formerly known as CorpBank Securities Ltd) was incorporated in the year 1999 as a Primary Dealer in Government Securities & Treasury Bills.

The Company is presently engaged in Institutional broking activity, MF distribution, Trading / Investment in CPs / CDs, Treasury bills and other Govt debted Securities.

The company is now expanding its business and shall provide doorstep service to prospective clients of Housing / Vehicle Loans as a distribution arm of Union Bank of India.

UBISL provides end to end solution and helps the prospective buyers Start from free consultation on Property / Car search till the arrangement of Loan, giving complete financial solutions to individuals.",http://www.ubisl.co.in,,Financial Services,"201-500 employees 179 on LinkedIn
            
 



    Includes members with current employer listed as UBI Services Ltd, including part-time roles.","Thane, Maharashtra",1999,"Home Loan, Vehicle Loan, Real Estate, WILL Writing, Mutual Fund, House Search, Car Search, and Institutional Broking"
"Annapurna Finance Pvt. Ltd (AMPL), one of the fast growing NBFC-MFI in the country, has its roots in the early 1990s doing various developmental activities as a not-for-profit entity registered as Peoples Forum. The microfinance activities started with the evolution of Mission Annapurna under Peoples Forum from the year 2005. Mission Annapurna was able to reach the interior hinterlands of Odisha through its untiring effort of addressing the economic necessities of poor women at their doorstep. As the program grew large by size and area of operation, there was an utter need to transform itself into a more regularized entity. The gradual transformation from Mission Annapurna bring forth the name Annapurna Finance Pvt Ltd (AMPL) to the sector in the year 2009. Thereafter, AMPL registered itself with the Reserve Bank of India (RBI) as an NBFC-MFI in the year 2013.

All through the organizational building process, Annapurna has followed two basic principles: Innovate & Replicate. Annapurna, over the years, has continued to innovate in its products and delivery mechanisms, to make the whole process of micro-credit delivery as effective as possible. That innovation is then replicated to its new operational areas with the same energy and enthusiasm. Over the years this principle has helped Annapurna to establish itself as one of the leading MFIs in India.

Annapurna was established with a purpose of serving the economically backward clients by bringing them to mainstream, providing need based financial services at their doorstep. The focus has been clear, to reach the areas where formal financial institutions find it unprofitable to settle in. Its objectives have not only limited to just reach and serve but also by providing financial and technical support to strengthen entrepreneurial skill for effective and efficient undertaking of business activities. Along with this, Annapurna is providing clients MSME Loans and Small Housing Finance.",http://www.ampl.net.in,,Financial Services,"1,001-5,000 employees 1,892 on LinkedIn
            
 



    Includes members with current employer listed as Annapurna Finance Pvt. Ltd., including part-time roles.","Bhubaneswar, Odisha",2009,
Financepeer is a Google incubated and RBI governed NBFC. This IIT/IIM alumni founded company specializes in education Fee Financing that enables educational institutes to manage their funds efficiently by paying student’s entire year's fees up front while the parents get the option to pay back in easy EMIs.,https://www.financepeer.com,"09554123123
            

              Phone number is 09554123123",Financial Services,"201-500 employees 355 on LinkedIn
            
 



    Includes members with current employer listed as Financepeer, including part-time roles.","Mumbai, Maharashtra",2017,"Credit Rating, AI, Loans, and Fastest Loan Processing"
"Jai Kisan's platform is built to empower the growth of Rural Indians, especially farmers. We provide low cost and timely financing for agricultural equipment, dairy equipment and other rural yield generational assets that is more flexible and transparent than any other credit option available today.",http://www.jai-kisan.com,,Financial Services,"201-500 employees 317 on LinkedIn
            
 



    Includes members with current employer listed as Jai Kisan, including part-time roles.","Mumbai, Maharashtra",2017,
"KFintech serves the mission-critical needs of asset managers with clients spanning mutual funds, AIFs (alternative investments), pension, wealth managers and corporates in India and abroad. The company provides SaaS based end-to-end transaction management, channel management, compliance solutions, data analytics and various other digital services to asset managers across segments, as well as outsourcing services for global players.",https://www.kfintech.com/,,Financial Services,"5,001-10,000 employees 2,036 on LinkedIn
            
 



    Includes members with current employer listed as KFin Technologies Ltd., including part-time roles.","Hyderabad, Telangana",,"Mutual Fund Services, NPS CRA, Alternate Investment Fund Services, Global Business Services, Global Fund Services, Private Wealth Management, Portfolio Management Services, and Corporate Registry Services"
"Aditya Birla Housing Finance Limited (""ABHFL""), a subsidiary of Aditya Birla Capital Limited, is a fast-growing housing finance company (""HFC"") in India.
Initially incorporated in 2009 as an investment company, ABHFL commenced operations in the housing finance sector in October 2014. ABHFL is registered with the NHB as a systemically important non-deposit accepting housing finance company.
ABHFL has significantly expanded its footprint to 121 branches. ABHFL aims to enhance its focus on tie-ups with developers and builders, along with achieving the right balance of sourcing and product mix and increasing its penetration by cross selling and up-selling.
The company offers a complete range of housing finance solutions such as Home loans, Home Extension Loan, Plot & Home Construction Loan, Home Improvement Loans, Loan Against Property, Construction Financing, Lease Rental Discounting, Commercial Property Purchase Loan and Property Advisory Services. Through its lending solutions, ABHFL enables customers to own their dream home.
Aditya Birla Capital Limited (ABCL) is the holding company for the financial services businesses of the Aditya Birla Group.
ABCL’s subsidiaries have a strong presence across Protecting, Investing and Financing solutions, ABCL is a universal financial solutions group catering to diverse needs of its customers across their life stages. Powered by more than 30,000 employees, the subsidiaries of ABCL have a nationwide reach with 950 branches and more than 2,00,000 agents / channel partners and several bank partners.
Aditya Birla Capital Limited is a part of the Aditya Birla Group, in the league of Fortune 500. Anchored by an extraordinary force of over 140,000 employees, belonging to 100 nationalities. Today, over 50% of Group revenues flow from overseas operations that span 36 countries in North and South America, Africa and Asia.",https://homefinance.adityabirlacapital.com,,Financial Services,"201-500 employees 865 on LinkedIn
            
 



    Includes members with current employer listed as Aditya Birla Housing Finance Limited, including part-time roles.","MUMBAI, Maharashtra",2009,"Home Loans, Home Financing, Home Extension Loan, Home Improvement Loan, Plot & Construction Loan, Construction Finance, Loan against Property, Affordable Housing, and PMAY"
"ABOUT CANARA ROBECO
We at Canara Robeco, are India’s second oldest asset manager, in existence since 1993, when we were known as Canbank Mutual Fund. In 2007, Canara Bank partnered with Robeco group by way of a joint venture and the mutual fund was renamed as Canara Robeco Mutual Fund. This brings together, Canara Bank’s extensive experience in the Indian market along with Robeco group’s global asset management experience.

Canara Bank is one of India’s largest banks, majority shareholding of which is owned by the Government of India. The bank has over a century of banking experience in India, 81 million plus customers and over 6100 branches.

Robeco group was founded in 1929 in Rotterdam, is a pure play asset manager. Robeco group has an active investment style and is known as a global leader in sustainable investing. With a presence in 16 countries and over 1300 employees, Robeco group has investment centers in key cities.

COMPANY PROFILE
Canara Robeco Mutual Fund is the second oldest Mutual Fund in India, established in December 1987 as Canbank Mutual Fund. Subsequently, in 2007, Canara Bank partnered with Robeco (now a part of ORIX Corporation, Japan) and the mutual fund was renamed as Canara Robeco Mutual Fund. Since then, it has consistently been one of the fastest growing mutual funds in India in terms of AuM. Our solutions offer a range of investment options, including diversified and thematic equity schemes, hybrid and monthly income funds and a wide range of debt and treasury products.

VISIT US AT
www.canararobeco.com

DISCLAIMER
Mutual Fund investments are subject to market risks, read all scheme related documents carefully.",http://www.canararobeco.com,"022 6658 5000
            

              Phone number is 022 6658 5000",Financial Services,"201-500 employees 243 on LinkedIn
            
 



    Includes members with current employer listed as Canara Robeco Mutual Fund, including part-time roles.","MUMBAI, MAHARASHTRA",1987,Asset Management and Funds Management
"We offer payments infrastructure & growth tools for businesses in India. 

✅Paytm Mini Apps & Ads to showcase your business to India’s largest online audience.

✅Paytm PG & Payouts to accept, send & manage your business payments better.",https://business.paytm.com/,,Financial Services,"10,001+ employees 330 on LinkedIn
            
 



    Includes members with current employer listed as Paytm for Business , including part-time roles.",,,
"HFS is a new age NBFC focused on supporting the growth of micro and small enterprises in India. Our aim is to be a partner in their progress by providing customised financial solutions to this under-served segment in a transparent and seamless manner.

HFS is backed by a leading conglomerate – House of Hiranandani -  whose core values  act as guiding principles of HFS. Since its inception, the House of Hiranandani has revolutionised the way living spaces are designed, and  transformed the ethos and aesthetics of real estate in India.",http://www.hfs.in,,Financial Services,"501-1,000 employees 223 on LinkedIn
            
 



    Includes members with current employer listed as Hiranandani Financial Services, including part-time roles.","Mumbai, Maharashtra",,
"Connect and Converse with likeminded people, Contribute and share your thoughts. It's Your space to discuss the Indian Economy and where it's headed, to know all about investing in India, to get updates on varied financial  asset classes and happening across the globe, that impact investing in India 

About Emkay: Emkay Global Financial Services Ltd. is a leader in the financial services sector, actively creating wealth for our clients for over two decades.  Founded in 1995 with a clear goal of offering sound, research-backed financial advice, we have successfully served a wide variety of highly distinguished clientele around the world; which includes foreign institutional investors (FIIs), domestic mutual funds, hedge funds, banks, insurance companies, private equity firms, corporate houses, small and medium-sized enterprises and high net worth individuals (HNIs).

Our stellar reputation as wealth creators is a direct result of nurturing one of the strongest equity research teams in the country. We have instilled in our teams a detail-oriented, research-driven approach to investing. Value investing – the science of identifying and investing in undervalued stocks through in-depth quantitative and qualitative research – is a strong guiding principle that lies at the heart of our investing philosophy. The results of this approach are evident in the enduring, successful relationships we enjoy with our clients.",https://www.emkayglobal.com/,"2266121212
            

              Phone number is 2266121212",Financial Services,"501-1,000 employees 741 on LinkedIn
            
 



    Includes members with current employer listed as Emkay Global Financial Services Ltd, including part-time roles.","Mumbai, Maharashtra",1995,"Wealth Management, Investment Banking, Equities & Derivatives, Commodities, Portfolio Management Services, Currency, Depository, E-Broking, and Research"
"BOB Financial Solutions Limited (formerly known as Bobcards Limited) was established in the year 1994. It is a non-banking Financial Company, wholly owned by Bank of Baroda, one of the top banks of India. The Company's primary business is credit cards and merchant acquiring. As the world continues rebuilding in search of new happiness, we continue to offer products that include the best deals, offers and rewards to ensure that ‘Happiness Is Trending Now’.",http://www.bobfinancial.com,,Financial Services,"501-1,000 employees 440 on LinkedIn
            
 



    Includes members with current employer listed as BOB Financial Solutions Limited, including part-time roles.","Mumbai, Maharashtra",1994,Credit Cards and FINTECH
"GrayQuest is India's largest education focused fintech company. 

We offer a suite of products spanning SAAS, payments and BNPL use cases for educational institutions across the country. Our primary offering is a monthly fee payment plan wherein students and parents can pay their education fee in bite sized monthly payments at zero extra cost, and access a range of insurance and other benefits!

GrayQuest is today working with more than 4000+ educational institutions accessing 2M+ students across the country. 

We are backed by some of India's most accomplished entrepreneurs including founders/CxOs of companies such as CRED, Udaan, Flipkart, OyO, Shaadi, Pidilite and many more! 

We are actively hiring across Product, Tech, Marketing and Sales functions. We aspire to have a fast paced, dynamic, competitive work culture with the highest focus on flexibility and empathy towards our team.",https://www.grayquest.com/,"+912248931822
            

              Phone number is +912248931822",Financial Services,"201-500 employees 214 on LinkedIn
            
 



    Includes members with current employer listed as GrayQuest, including part-time roles.","Mumbai, Maharashtra",2017,"financial services, Schools, Colleges, Universities, k12, internet, consumer fintech, bnpl, fintech, payments, education, and SAAS"
"EbixCash, has today emerged as India’s largest end-to-end financial exchange, that includes a last mile network of over 650,000 physical distribution outlets besides an omni-channel online digital platform. EbixCash converges front-end distribution channels with back-end technology functions, across the payments solutions, travel, insurance and financial technology industries.

The EbixCash Exchange employs more than 10,500+ employees across different sectors with 191 offices across the Asia Pacific region. The leadership team of the Company is ingrained in the ethos of Customer First, a genuine need to excel, a bias for action and delivering results.

With a clear leadership position in the areas of international remittance and foreign exchange, as well as leadership positions in other areas such as digital payments solutions, domestic money remittance, prepaid cards, travel, insurance and corporate & incentive solutions, EbixCash, is pioneering convergence end-to-end play. EbixCash is today leveraging its focus on On-Demand technology as the means to maintain and grow its leadership position.

EbixCash portfolio of products can be accessed digitally anywhere as well as across its distribution outlets spread over 4,000 cities and 75,000 villages.

EbixCash business encompasses four primary business segments - (1) Payments Solutions (2) Travel (3) Financial Technologies (4) BPO and Startups.",http://ebixcash.com/,"+91 120 4688400
            

              Phone number is +91 120 4688400",Financial Services,"5,001-10,000 employees 1,399 on LinkedIn
            
 



    Includes members with current employer listed as EbixCash, including part-time roles.","Noida, Uttar Pradesh , Uttar Pradesh",2002,"Digital Payments, Money Transfer, Prepaid Cards & Mobile Wallet, Incentive Solutions, Gift Cards, Corporate Soultions, Expense Management, Payroll & Expense Management, Gift & Incentive Solutions, Meal & Fuel Reimbursement Cards, gifting, travel, hotel booking, flight booking, holidays, mobile payments, recharge, and bill payment"
"NeoGrowth is a new-age digital lender, registered with RBI, focusing on Micro, Small, and Medium Enterprises (MSMEs). We offer a wide range of products tailored to the dynamic needs of small businesses. Our data science and technology-led approach enable us to offer quick and hassle-free loans to MSMEs across 80+ segments in 25+ cities in India. We offer a unique daily repayment option to our customers with multi-channel repayment modes. We have served and engaged with 1,00,000+ businesses and supported them with their growth ambitions.",https://www.neogrowth.in/,,Financial Services,"501-1,000 employees 689 on LinkedIn
            
 



    Includes members with current employer listed as NeoGrowth Credit Pvt. Ltd., including part-time roles.","Mumbai, Maharashtra",,"Mid-size, short term lending to merchants, Loans to meet all kinds of business funding needs, and No collateral and flexible repayment model"
"Looking To Buy your Dream Vehicle?

Buy with OTO’s 10X simple, affordable and convenient experience.

Pay Lesser.
We challenge you to find a lower monthly instalment for your buy.
Own a 2 wheeler for 30% lesser!

Upgrade whenever!
Move-on from long-term commitments, with OTO.
Get upto 50% assured resale value on upgrade & zero hassles.

OTO Assistance
Only perks & no responsibilities with OTO assistance.
Free* Wear & tear fixes with regular maintenance without follow-ups.",http://www.otocapital.in,,Financial Services,"201-500 employees 175 on LinkedIn
            
 



    Includes members with current employer listed as OTO, including part-time roles.","Bengaluru South, Karnataka",2018,
IFL Housing Finance Limited is engaged in  Housing Finance & Gold Loan business. Head office at New Delhi & having 35 branches in Four states. Company main focus on rural housing finance where we provides Loan to informal segment who do not have documented income.,http://iflhousingfinance.com,"01145805612
            

              Phone number is 01145805612",Financial Services,"501-1,000 employees 141 on LinkedIn
            
 



    Includes members with current employer listed as IFL Housing Finance Limited, including part-time roles.",,1915,
"Choice is one of the leading financial service provider with Stock market, Mutual Fund, Insurance and Loan as major services. Choice is part of the Choice Group, a diversified multi-disciplinary conglomerate with presence in Finance – Hospitality – Technology sectors. Employing over 2000 professionals with wide-spread National and International presence, Choice Group has served,

-> 4 Lakh Clients
-> Presence in 88 Countries
-> 13 state governments

Choice Broking is a member of BSE, NSE, MCX, MSEI and NCDEX along with being a depository participant with CDSL and NSDL. To provide Traders / Investors “One Roof” services, we provide:

• Proprietary Trading Platform - Jiffy
• Panel of Expert Research Team
• Regularly engaged by Top Business Channels for Stock Market views
• Free Comprehensive Reports
• Trading / Investment Desk
• Portfolio Management Services

In our commitment towards creating wealth; we have been “Nurturing Financial Excellence” for over 2 decades. Come, be a part of this journey.",https://choiceindia.com/,"02267079999
            

              Phone number is 02267079999",Financial Services,"501-1,000 employees 405 on LinkedIn
            
 



    Includes members with current employer listed as Choice , including part-time roles.","Mumbai, Maharashtra",2010,"Financial Planning, Equity Trading, Commodity Trading, Currency Trading, Derivatives Trading, Mutual Funds Investment, Insurance Broking, Wealth Management, SME Market Making, Institutional Equities , Bonds, Debentures, Stock Market, and Trading App"
"Power Finance Corporation Ltd. (PFC) is an Infrastructure Finance Company dedicated to financing the power sector. It was established by the Govt. of India in in July 1986 to provide exclusive focus for financing and development of the power sector in the country. Today, PFC is the single largest lender to the Indian power sector and supports about 23% of the country's installed power generation capacity. 
PFC, in its role as a Development Financial Institution has also been supporting State Power Utilities through a variety of capacity building measures. PFC is also the nodal agency for development of Ultra Mega Power Projects (UMPP) and Restructured Accelerated Power Development and Reforms Program (R-APDRP).",http://www.pfcindia.com,,Financial Services,"201-500 employees 549 on LinkedIn
            
 



    Includes members with current employer listed as Power Finance Corporation Ltd., including part-time roles.","New Delhi, Delhi",1986,"Project Financing, Term Lending, Debt Refinancing, Lease Financing, Takeout Financing, and Short Term Lending"
"Fibe (Formerly EarlySalary) is a new FinTech start-up in Pune. We are promising to create ripples in the way lending will happen in the country. We are building our mobile first platform, smart risk scoring system and soon will introduce a fast & easy way to get a loan or buy products and pay-later. We are currently building a smart and young team who together will build this start-up into a buzziest FinTech brand.

Founders:

Akshay Mehrotra, Co-Founder & CEO
Marketer by heart, headed marketing for Big Bazaar, PolicyBazaar.com and Bajaj Allianz. He is an alumnus of Symbiosis Institute of Management Studies

Ashish Goyal, Co-Founder & CFO
Investment banker and CA by profession and served as the CIO for Bajaj Allianz General Insurance. He has extensive experience in financial markets, fund management & finance functions.",http://www.earlysalary.com,,Financial Services,"201-500 employees 328 on LinkedIn
            
 



    Includes members with current employer listed as Fibe.India (Formerly EarlySalary), including part-time roles.","Pune, Maharashtra",2015,
"mPokket is an app lending platform. mPokket provides instant personal loans to all the college students and recent graduates from college (got a job offer or started working as a professional).
The aim of the company is to make students financially responsible and independent.

The loan amount is sent via instant credit to the bank account or Paytm wallet. The user can start by borrowing small amounts and the borrowing limit will keep increasing over time with good usage. Consider us pocket money alternative for the rainy day or emergency cash need!

Our revolutionary technology uses AI to process the loans.",http://www.mpokket.com,,Financial Services,"1,001-5,000 employees 559 on LinkedIn
            
 



    Includes members with current employer listed as mPokket, including part-time roles.","Kolkata, West Bengal",2016,"Finance, Instant Loan, Student Loan, Salaried Loan, Instant Pocket Money, Loan, Business Loan, College Student, Instant Lending, and Emergency cash"
"AlphaGrep is a quantitative trading and investment management firm . We invest both proprietary and external capital across all asset classes on most major exchanges globally . We are a family of 300+ members across our 10 offices in Asia , Europe and Americas .",http://www.alpha-grep.com/,,Financial Services,"201-500 employees 244 on LinkedIn
            
 



    Includes members with current employer listed as AlphaGrep, including part-time roles.",,2009,"Quantitative Finance, Trading, Investing, and Risk Mangement"
"Electronica Finance Limited (EFL) is one of the leading  Non-Banking Finance Companies (NBFC) with 150+ branches across India. Incepted in the year 1990, EFL was amongst the first few NBFC’s to provide loans for Machinery purchase. Over the years, EFL has diversified into various segments catering to a large product portfolio that includes Business loans, Working Capital loans & Loan Against Property Loans in addition to our flagship product of Machinery loans.
 
With stress on unwavering ethics, mutual respect, strong determination and a healthy work culture matching the global finance industry standards, EFL has been able to maintain a strong & dignified portfolio. Around 40% of our new disbursements come from the existing clientele.
 
EFL’s tailored finance options have empowered more than 15000+ customers over the last 30 years.",http://efl.co.in/,"8390304246
            

              Phone number is 8390304246",Financial Services,"1,001-5,000 employees 604 on LinkedIn
            
 



    Includes members with current employer listed as Electronica Finance Limited, including part-time roles. Also includes employees from subsidiary: EFL Connections - B2B Marketplace.","Pune, Maharashtra",1990,"Machine Loan, MSME Loan, Business Loan, Rooftop Solar Loan, Loan Against Property , Institutional Lending, and Working Capital Demand Loan"
"We are a new age financial lending firm that focuses on providing services to small and medium enterprises. Our superior technology enables us to make the lending process faster and easier. We are currently present across 4 states in 13 cities with 21 branches in states like Maharashtra, Gujarat, Rajasthan and Delhi",,,Financial Services,"201-500 employees 306 on LinkedIn
            
 



    Includes members with current employer listed as SMEcorner , including part-time roles.","Mumbai, Maharashtra",2014,"Business Loans, Fintech, SMELending, SMELoans, Small Medium Business Financing, Working Capital Loans, Business Capital, Business Financing, Unsecured Business Loans, LAP Business Loan, Loan against Property, Business Loan against Property, Loans, and SME"
